,keyword,addition
samsung galaxy j1 -> galaxy,2,2
moto smart watch -> smart,2,2
classic polo jeans -> classic,2,2
sandwich toaster -> sandwich,2,2
nike sneakers -> nike,2,2
speaker wall mount -> speaker,2,2
parker pen -> parker,2,2
lancer men shoes -> men,2,2
car scratch remover -> car,2,2
car stickers -> car,2,2
air blower -> air,2,2
 one plus one -> plus,2,2
oppo smartphones -> oppo,2,2
sparx sport shoes -> sparx,2,2
oppo f1 back cover -> back,2,2
ladies shoes -> ladies,2,2
patiala salwar -> patiala,2,2
pattu sarees -> pattu,2,2
bucket mop -> bucket,2,2
silk cotton sarees -> cotton,2,2
sport watches -> sport,2,2
mens shirt -> mens,2,2
ladies suit -> ladies,2,2
one plus one -> plus,2,2
sony xperia z3 -> sony,2,2
men watches -> men,2,2
original samsung charger -> original,2,2
anarkali cotton dresses -> cotton,2,2
sonata watches -> sonata,2,2
sonata sports watches for men -> sonata,2,2
canon dslr camera -> canon,2,2
hair refrigerator -> hair,2,2
hair serum -> hair,2,2
aluminium roti tawa -> roti,2,2
gym mat -> gym,2,2
half helmet -> half,2,2
half helmets -> half,2,2
gta 5 pc -> 5,2,2
camping tent -> camping,2,2
laptop speaker -> laptop,2,2
car cooler -> car,2,2
sony tv -> sony,2,2
laptop power bank -> laptop,2,2
lava pixel v2 -> lava,2,2
all in one printer -> one,2,2
pears soap -> pears,2,2
sports watch for men -> sports,2,2
fila running shoes -> running,2,2
lenovo mouse -> lenovo,2,2
georgette kurtis -> georgette,2,2
cheapest laptop -> cheapest,2,2
home ups -> home,2,2
photo printer -> photo,2,2
study table -> study,2,2
pigeon water bottle -> pigeon,2,2
chiffon sarees -> chiffon,2,2
krown microphone -> krown,2,2
lenovo power bank -> lenovo,2,2
ladies sandals -> ladies,2,2
submersible cooler pump -> cooler,2,2
hot air gun -> air,2,2
lenovo tablet -> lenovo,2,2
nilkamal shoe rack -> nilkamal,2,2
a4 paper -> a4,2,2
artengo accessories badminton -> accessories,2,2
cigratte lighter -> cigratte,2,2
ganesh juicer -> ganesh,2,2
woodland formal shoes -> formal,2,2
georgette saree -> georgette,2,2
arihant books -> arihant,2,2
philips tv -> philips,2,2
glass tea table -> glass,2,2
celing fan -> celing,2,2
britannia chunkies -> britannia,2,2
personal weighing machine -> personal,2,2
adidas caps -> adidas,2,2
office pen stand -> office,2,2
philip trimmer -> philip,2,2
adidas bats -> adidas,2,2
apple juice -> apple,2,2
mens watch -> mens,2,2
philips shaver -> philips,2,2
branded caps -> branded,2,2
sthri yellow sarees -> sthri,2,2
sg cricket kit -> cricket,2,2
sexy toys -> sexy,2,2
acoustic guitar -> acoustic,2,2
lenovo a6000 plus mobile phone -> mobile,2,2
usb dvd player -> dvd,2,2
haier led tv -> haier,2,2
jbl speakers -> jbl,2,2
iphone 6s 16gb gold -> 16gb,2,2
cricket hat -> cricket,2,2
baseball cap -> baseball,2,2
pureit water purifier -> pureit,2,2
wireless gaming mouse -> gaming,2,2
mark taylor slim fit formal shirt -> formal,2,2
external hard disk -> external,2,2
bajaj bike -> bajaj,2,2
puma sneakers -> puma,2,2
bamboo flute -> bamboo,2,2
bicycle lazer light -> lazer,2,2
 wireless keyboard & mouse -> &,2,2
