,keyword,addition
earphone -> headphone,21,21
cover -> flipcover,21,21
pants -> shirts,21,21
orange -> pink,21,21
holder -> holders,21,21
gold -> golden,21,21
tshirts -> t-shirts,20,20
adapter -> battery,20,20
2gb -> 4gb,20,20
hp -> lenovo,20,20
jackets -> jeans,20,20
headset -> headsets,20,20
laptop -> pc,20,20
tshirt -> t-shirt,20,20
1 -> 3,19,19
holder -> stand,19,19
lava -> micromax,19,19
mobile -> plus,19,19
j3 -> on5,19,19
rack -> racks,19,19
drive -> drives,19,19
j1 -> j2,19,19
gold -> silver,19,19
shoes -> watch,19,19
6 -> se,19,19
philips -> sony,19,19
man -> women,19,19
earphones -> headphone,19,19
mi -> redmi,19,19
pot -> pots,19,19
4s -> 5,19,19
accessories -> cover,19,19
mobile -> phones,19,19
condom -> condoms,19,19
sandals -> shoe,19,19
shirt -> tshirt,19,19
a6000 -> a7000,18,18
ps2 -> ps3,18,18
10 -> 20,18,18
bag -> case,18,18
orange -> red,18,18
a -> ac,18,18
machine -> scale,18,18
container -> containers,18,18
bumper -> case,18,18
keychain -> keychains,18,18
sarees -> shirts,18,18
tap -> taps,18,18
grinder -> grinders,18,18
535 -> 540,18,18
kurtis -> sarees,18,18
sonata -> titan,18,18
g2 -> g3,18,18
timex -> titan,18,18
salwar -> saree,18,18
bedsheet -> bedsheets,17,17
puma -> sparx,17,17
car -> card,17,17
dress -> gown,17,17
pen -> pencil,17,17
led -> light,17,17
gift -> gifts,17,17
bag -> box,17,17
tv -> tvs,17,17
for -> in,17,17
tablets -> tabs,17,17
4 -> 8,17,17
cpu -> desktop,17,17
filter -> purifier,17,17
bagpack -> bags,17,17
blue -> brown,17,17
guitar -> guitars,17,17
6 -> 7,17,17
6 -> 8,17,17
sheet -> sheets,17,17
cove -> cover,17,17
10 -> 12,17,17
purple -> red,17,17
men -> womens,17,17
boys -> girl,17,17
kids -> women,17,17
mug -> mugs,17,17
bag -> bagpack,17,17
bra -> bras,17,17
boots -> shoes,16,16
charge -> charger,16,16
lava -> lenovo,16,16
projector -> projectors,16,16
bike -> cycle,16,16
cabinet -> cabinets,16,16
phones -> price,16,16
mens -> men,16,16
fila -> puma,16,16
11 -> 12,16,16
4 -> 4g,16,16
pencil -> pencils,16,16
oil -> oils,16,16
computer -> pc,16,16
lipstick -> lipsticks,16,16
transparent -> white,16,16
mans -> men,16,16
computer -> laptop,16,16
skirt -> skirts,16,16
5s -> se,16,16
disk -> drive,16,16
panasonic -> samsung,16,16
battery -> laptop,16,16
wallet -> watch,16,16
man -> mans,16,16
covers -> phone,15,15
chain -> chains,15,15
red -> white,15,15
bags -> belt,15,15
television -> televisions,15,15
womens -> women,15,15
kurta -> kurtas,15,15
saree -> shirt,15,15
men -> nike,15,15
sarees -> suit,15,15
flip -> mobile,15,15
handbag -> handbags,15,15
mi4 -> mi4i,15,15
covers -> mobile,15,15
adapter -> charger,15,15
doll -> dolls,15,15
backpack -> bags,15,15
watches -> watchs,15,15
backcover -> cover,15,15
battery -> cell,15,15
headphones -> headsets,15,15
g -> g3,15,15
bikes -> car,15,15
green -> red,15,15
bangle -> bangles,15,15
deo -> deodorant,15,15
glass -> mobile,15,15
shirts -> trousers,15,15
bumper -> cover,15,15
black -> combo,14,14
shaver -> trimmer,14,14
j3 -> j4,14,14
pant -> shirt,14,14
j -> j3,14,14
jbl -> sony,14,14
cream -> creams,14,14
filter -> filters,14,14
j3 -> mobiles,14,14
paint -> paints,14,14
men -> woman,14,14
footwear -> shoes,14,14
kurti -> saree,14,14
watches -> watch,14,14
oppo -> vivo,14,14
10 -> 11,14,14
conditioners -> cooler,14,14
battery -> body,14,14
sarees -> saress,14,14
micromax -> oppo,14,14
item -> items,14,14
girls -> man,14,14
16 -> 16gb,14,14
jean -> jeans,14,14
window -> windows,14,14
double -> single,14,14
bicycle -> cycle,14,14
d-link -> dlink,14,14
mobile -> smartphone,14,14
sandals -> sandels,14,14
10 -> 6,14,14
kit -> set,14,14
lenovo -> mi,13,13
shoes -> wear,13,13
ac -> cooler,13,13
s5 -> s6,13,13
shirt -> shoe,13,13
fan -> light,13,13
me -> men,13,13
sandal -> shoes,13,13
black -> mobile,13,13
computer -> computers,13,13
samsung -> sandisk,13,13
brush -> brushes,13,13
system -> systems,13,13
pump -> pumps,13,13
shoes -> sneaker,13,13
floater -> floaters,13,13
sunglasses -> watches,13,13
fila -> nike,13,13
flop -> flops,13,13
blue -> combo,13,13
shelf -> shelves,13,13
g -> g2,13,13
lehenga -> lehengas,13,13
adapter -> cable,13,13
black -> case,13,13
shoes -> slipper,13,13
running -> sports,13,13
a7 -> j7,13,13
pen -> pendrive,13,13
1000 -> 10000,13,13
case -> flip,13,13
nova -> philips,13,13
pink -> purple,13,13
5000 -> 6000,13,13
cover -> guard,13,13
4s -> 6,13,13
lotto -> nike,13,13
1 -> 10,13,13
z1 -> z3,13,13
lens -> lenses,13,13
lg -> micromax,13,13
keyboard -> keyboards,13,13
4 -> 4s,13,13
mobile -> note,13,13
grey -> silver,13,13
cover -> dual,13,13
chappal -> chappals,13,13
organiser -> organizer,12,12
bag -> cover,12,12
mobile -> white,12,12
kurti -> tops,12,12
footwear -> sandals,12,12
saree -> sari,12,12
pc -> ps3,12,12
shampoo -> soap,12,12
pc -> ps4,12,12
dell -> lenovo,12,12
micromax -> mobile,12,12
hat -> hats,12,12
adidas -> fila,12,12
chemistry -> physics,12,12
1005 -> 1020,12,12
charger -> phone,12,12
motor -> motors,12,12
scrub -> wash,12,12
mobile -> tablet,12,12
glass -> gold,12,12
28 -> 32,12,12
door -> window,12,12
500 -> 5000,12,12
battery -> phone,12,12
j1 -> j3,12,12
philips -> samsung,12,12
panasonic -> philips,12,12
jeans -> shoes,12,12
girls -> woman,12,12
wheel -> wheels,12,12
earring -> earrings,12,12
bag -> bagpacks,12,12
jar -> jars,12,12
grip -> grips,12,12
sarees -> shoes,12,12
lehanga -> lehenga,12,12
heel -> heels,12,12
gold -> mobile,12,12
blade -> blades,12,12
full -> half,12,12
ba -> bag,12,12
mat -> mats,12,12
blazer -> blazers,12,12
jumpsuit -> jumpsuits,12,12
le -> led,12,12
mi -> mi4i,12,12
mi -> micromax,12,12
panties -> panty,12,12
beige -> black,12,12
table -> tablet,12,12
sock -> socks,12,12
lehenga -> saree,12,12
stick -> sticks,12,12
white -> yellow,12,12
bat -> kit,12,12
theater -> theatre,12,12
300 -> 500,12,12
cover -> glass,12,12
golden -> silver,12,12
serum -> shampoo,12,12
mo -> mobile,12,12
jacket -> jeans,12,12
strip -> strips,12,12
sare -> saree,12,12
mattress -> mattresses,12,12
jegging -> jeggings,12,12
large -> medium,12,12
bats -> kit,12,12
14 -> 16,11,11
wallets -> watch,11,11
1 -> one,11,11
knife -> knives,11,11
for -> of,11,11
charger -> covers,11,11
t -> tv,11,11
shirt -> t-shirt,11,11
kurta -> kurtis,11,11
juice -> juicer,11,11
balls -> bat,11,11
wardrobe -> wardrobes,11,11
hp -> sony,11,11
wallet -> watches,11,11
shirts -> t-shirts,11,11
inches -> inch,11,11
t -> t-,11,11
air -> water,11,11
10 -> 8,11,11
mens -> woman,11,11
man -> mens,11,11
shirts -> tshirt,11,11
black -> silver,11,11
z -> z1,11,11
man -> woman,11,11
4s -> 6s,11,11
black -> grey,11,11
fridge -> refrigerator,11,11
bags -> shoes,11,11
box -> container,11,11
16gb -> 4gb,11,11
adidas -> reebok,11,11
gun -> guns,11,11
silver -> white,11,11
32 -> 32gb,11,11
console -> consoles,11,11
stove -> stoves,11,11
boys -> man,11,11
boys -> mens,11,11
kurthis -> kurti,11,11
covers -> flipcover,11,11
dress -> suit,11,11
lenovo -> samsung,11,11
sarees -> tops,11,11
chocolate -> chocolates,11,11
fastrack -> fasttrack,11,11
cd -> dvd,11,11
dress -> saree,11,11
mobiles -> price,11,11
i5 -> i7,11,11
intex -> lenovo,11,11
m -> mobile,11,11
conditioners -> coolers,11,11
bags -> ball,11,11
3 -> 6,11,11
bags -> box,11,11
htc -> mi,11,11
bowl -> bowls,11,11
guard -> guards,11,11
laptop -> mobiles,11,11
kurtas -> kurti,11,11
kurtas -> kurtis,11,11
sarees -> sari,11,11
200 -> 300,11,11
4 -> 5s,11,11
refrigerator -> refrigerators,11,11
box -> case,11,11
machine -> maker,10,10
baby -> kids,10,10
watches -> wear,10,10
dispenser -> dispensers,10,10
e7 -> j7,10,10
blue -> white,10,10
bags -> basket,10,10
intex -> micromax,10,10
clothes -> clothing,10,10
cot -> cots,10,10
grey -> mobile,10,10
pendant -> pendent,10,10
laptop -> lenovo,10,10
14 -> 15,10,10
dlink -> d-link,10,10
shrug -> shrugs,10,10
a5 -> j3,10,10
light -> lighting,10,10
ear -> head,10,10
mobile -> nokia,10,10
a5 -> a8,10,10
board -> boards,10,10
hook -> hooks,10,10
flipcover -> mobile,10,10
box -> kit,10,10
e5 -> e7,10,10
rack -> stand,10,10
20 -> 30,10,10
paper -> papers,10,10
file -> files,10,10
gray -> green,10,10
cable -> converter,10,10
covers -> panel,10,10
massage -> massager,10,10
chain -> ring,10,10
plant -> plants,10,10
shirt -> top,10,10
cable -> case,10,10
10 -> 9,10,10
mini -> mobile,10,10
air -> pro,10,10
2000 -> 3000,10,10
headphones -> mobile,10,10
bracelet -> bracelets,10,10
40 -> 50,10,10
nightwear -> nighty,10,10
frock -> frocks,10,10
conditioner -> shampoo,10,10
pipe -> pipes,10,10
micromax -> sony,10,10
j7 -> on7,10,10
kurti -> sarees,10,10
kurtis -> leggings,10,10
tool -> tools,10,10
mobiles -> samsung,10,10
xl -> xxl,10,10
cube -> cubes,10,10
5 -> 5x,10,10
dress -> tops,10,10
sleeve -> sleeves,10,10
combo -> set,10,10
black -> pink,10,10
micromax -> nokia,10,10
nokia -> oppo,10,10
home -> house,10,10
computer -> desktop,10,10
sarees -> watches,10,10
year -> years,10,10
sarees -> shirt,10,10
panel -> phone,10,10
mi -> mobile,10,10
conditioner -> cooler,10,10
100 -> 50,10,10
lenovo -> mobile,10,10
bicycles -> bike,10,10
dresses -> tops,10,10
skybag -> skybags,10,10
glass -> guard,9,9
shoes -> tshirt,9,9
bra -> panty,9,9
cover -> flip,9,9
mirror -> mirrors,9,9
amplifier -> amplifiers,9,9
6000 -> 7000,9,9
stand -> steel,9,9
bra -> condom,9,9
cover -> earphone,9,9
j1 -> j5,9,9
3 -> prime,9,9
lg -> sony,9,9
sonata -> timex,9,9
lenovo -> sony,9,9
mobiles -> note,9,9
aurelia -> biba,9,9
girls -> kid,9,9
battery -> keyboard,9,9
bed -> cot,9,9
tv -> watches,9,9
1gb -> 2gb,9,9
iphone -> ipod,9,9
price -> printer,9,9
0 -> 1,9,9
mens -> womens,9,9
case -> mobile,9,9
tray -> trays,9,9
toys -> watch,9,9
external -> internal,9,9
phone -> smartphone,9,9
4c -> 4x,9,9
doll -> dress,9,9
pamper -> pampers,9,9
32 -> 42,9,9
shoes -> sleepers,9,9
bicycles -> cycle,9,9
bicycle -> bike,9,9
salwar -> sarees,9,9
led -> tv,9,9
asus -> lenovo,9,9
boy -> girls,9,9
set -> stand,9,9
3 -> 4g,9,9
l130 -> l220,9,9
lotto -> puma,9,9
2 -> 4g,9,9
accessories -> adapter,9,9
glas -> glass,9,9
1 -> 5,9,9
e -> g,9,9
controller -> controllers,9,9
rado -> rolex,9,9
infocus -> micromax,9,9
boys -> gents,9,9
filp -> flip,9,9
camara -> camera,9,9
mic -> mike,9,9
boxer -> boxers,9,9
suits -> tops,9,9
bags -> bangles,9,9
phone -> plus,9,9
xiaomi -> xiomi,9,9
oil -> powder,9,9
battery -> bumper,9,9
15 -> 20,9,9
powder -> power,9,9
lenovo -> oppo,9,9
3000 -> 4000,9,9
coat -> coats,9,9
wallets -> watches,9,9
freshener -> freshner,9,9
lehenga -> sarees,9,9
paint -> pant,9,9
black -> golden,9,9
iphone -> mobile,9,9
motherboard -> motherboards,9,9
ipad -> ipod,9,9
10 -> 5,9,9
matress -> mattress,9,9
tap -> tape,9,9
j -> j2,9,9
10 -> 7,9,9
pants -> panty,9,9
idol -> statue,9,9
black -> green,9,9
12 -> 14,9,9
25 -> 50,9,9
12 -> 13,9,9
deal -> deals,9,9
route -> router,9,9
stone -> stones,9,9
wifi -> wireless,9,9
chair -> table,9,9
24 -> 28,9,9
body -> cover,9,9
shampoo -> shampoos,9,9
j4 -> j5,9,9
bulb -> light,9,9
sandals -> slipper,9,9
ladies -> womens,9,9
bar -> bars,9,9
blouse -> blouses,9,9
fashion -> fashions,9,9
sneakers -> socks,9,9
cooker -> cookers,9,9
basket -> baskets,9,9
rod -> rods,9,9
hp -> laptop,9,9
qt4005 -> qt4006,9,9
970 -> 980,9,9
a8 -> a9,9,9
j3 -> spark2,9,9
xxl -> xxxl,9,9
24 -> 32,9,9
lamps -> light,9,9
panasonic -> sony,9,9
f&d -> fd,9,9
watch -> wear,8,8
brush -> kit,8,8
dupatta -> dupattas,8,8
mob -> mobile,8,8
gents -> girls,8,8
karbonn -> lava,8,8
1020 -> 1136,8,8
umbrella -> umbrellas,8,8
a5 -> j7,8,8
v1 -> v2,8,8
j3 -> z3,8,8
2 -> ii,8,8
a1000 -> a7000,8,8
infocus -> mobiles,8,8
720 -> 730,8,8
bag -> shoes,8,8
make -> maker,8,8
cover -> display,8,8
lights -> lock,8,8
speakers -> system,8,8
cushion -> cushions,8,8
kurtis -> tops,8,8
adapter -> adapters,8,8
kids -> laptop,8,8
casual -> sports,8,8
covers -> earphones,8,8
machin -> machine,8,8
infocus -> intex,8,8
top -> tshirt,8,8
pouch -> price,8,8
hanger -> hangers,8,8
gionee -> htc,8,8
cover -> holder,8,8
s3 -> s4,8,8
car -> home,8,8
s5 -> s7,8,8
disk -> disks,8,8
ltr -> ltrs,8,8
skirts -> tops,8,8
13 -> 14,8,8
accessories -> battery,8,8
lowest -> low,8,8
bag -> ball,8,8
tops -> watches,8,8
disc -> disk,8,8
mi4i -> mi5,8,8
tava -> tawa,8,8
bag -> bages,8,8
3 -> mobile,8,8
128 -> 64,8,8
cleaner -> cleaners,8,8
intex -> lava,8,8
handle -> handles,8,8
400 -> 500,8,8
kit -> machine,8,8
